Trial-ID,Status,Iteration,batch_size,dataset,epochs,gpus,lr,max_concurrent,max_layers,model,num_layers,patience,save_type,Objective,acc,loss,val_acc,val_loss
12,INTERMEDIATE,4,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.0227686805725098,0.691460000038147,0.8776431503295898,0.6507,1.0227686805725098
12,INTERMEDIATE,5,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.0088938125610352,0.7462400000190735,0.7263735887145996,0.6588,1.0088938125610352
12,INTERMEDIATE,6,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.0158590732574464,0.7994599999809265,0.57658256275177,0.6736,1.0158590732574464
12,INTERMEDIATE,7,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.0472622543334962,0.8531599999809265,0.4297068372344971,0.6743,1.0472622543334962
12,INTERMEDIATE,8,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.2149590215682984,0.9046400000381469,0.2876786904621124,0.6673,1.2149590215682984
12,INTERMEDIATE,9,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.357299013519287,0.9393400000190735,0.18585479705810548,0.6645,1.357299013519287
12,INTERMEDIATE,10,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.4911555728912353,0.96166,0.12223019386291505,0.6709,1.4911555728912353
12,INTERMEDIATE,11,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.6145490838050842,0.9712399999809265,0.0945786054468155,0.6582,1.6145490838050842
12,INTERMEDIATE,12,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.7780349994659423,0.97554,0.07609715470314025,0.6627,1.7780349994659423
12,INTERMEDIATE,13,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.8637990062713623,0.977400000038147,0.0725176754975319,0.656,1.8637990062713623
12,INTERMEDIATE,14,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.9761754693984985,0.9776000000190734,0.06955666225671768,0.6588,1.9761754693984985
12,INTERMEDIATE,15,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.0597337304115295,0.982479999961853,0.056279343798160554,0.6557,2.0597337304115295
12,INTERMEDIATE,16,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.1203785442352294,0.979700000038147,0.061917824906110766,0.6604,2.1203785442352294
12,INTERMEDIATE,17,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.1751409772872923,0.983759999961853,0.05002973664164543,0.6557,2.1751409772872923
12,INTERMEDIATE,18,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.211314673233032,0.9841400000190735,0.04905773877620697,0.6631,2.211314673233032
12,INTERMEDIATE,19,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.269131616592407,0.98516,0.046177372748851774,0.6626,2.269131616592407
12,INTERMEDIATE,20,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.3885522411346436,0.9828600000190735,0.05229649946093559,0.6502,2.3885522411346436
12,INTERMEDIATE,21,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.3202438610076905,0.9797399999809265,0.06474641911029816,0.6529,2.3202438610076905
12,INTERMEDIATE,22,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.4384011917114257,0.9830800000190735,0.049053429310321806,0.6544,2.4384011917114257
12,INTERMEDIATE,23,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.481992913818359,0.98846,0.03451562967836857,0.6544,2.481992913818359
12,INTERMEDIATE,24,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.579164302253723,0.9869200000190735,0.0408402690577507,0.6583,2.579164302253723
12,INTERMEDIATE,25,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.561496866226196,0.98758,0.03902427147269249,0.6599,2.561496866226196
12,INTERMEDIATE,26,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.60684857673645,0.986399999961853,0.04161104766011238,0.6605,2.60684857673645
12,INTERMEDIATE,27,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.590763719177246,0.9854600000381469,0.04570705947548151,0.6497,2.590763719177246
12,INTERMEDIATE,28,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.6141321212768553,0.9891600000190734,0.03300739937663078,0.6568,2.6141321212768553
12,INTERMEDIATE,29,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.5963079837799072,0.98864,0.036471178254932166,0.6577,2.5963079837799072
12,INTERMEDIATE,30,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.7183836456298827,0.9903,0.03119617260530591,0.6522,2.7183836456298827
12,INTERMEDIATE,31,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.790865807533264,0.9841400000190735,0.047737899885773656,0.6486,2.790865807533264
12,INTERMEDIATE,32,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.881226566696167,0.98692,0.04059774266034365,0.6519,2.881226566696167
12,INTERMEDIATE,33,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.8612252769470214,0.9904600000381469,0.03044115826010704,0.6432,2.8612252769470214
12,INTERMEDIATE,34,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.000214683151245,0.9874200000190735,0.03864541614174843,0.6371,3.000214683151245
12,INTERMEDIATE,35,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.8806751277923586,0.9891400000190735,0.03589520380109549,0.6495,2.8806751277923586
12,INTERMEDIATE,36,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.8712715143203735,0.9905200000190735,0.0323996466703713,0.6537,2.8712715143203735
12,INTERMEDIATE,37,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.016841622161865,0.9914800000190734,0.027839532689154147,0.6442,3.016841622161865
12,INTERMEDIATE,38,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.920209086418152,0.9914400000190735,0.028780483101308346,0.6492,2.920209086418152
12,INTERMEDIATE,39,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,2.9671855331420898,0.9888200000190734,0.036171286693289874,0.6502,2.9671855331420898
12,INTERMEDIATE,40,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.0337715810775756,0.98716,0.04085517180547118,0.6482,3.0337715810775756
12,INTERMEDIATE,41,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.073090115737915,0.9880200000190735,0.03829594641044736,0.6483,3.073090115737915
12,INTERMEDIATE,42,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.077268484687805,0.98886,0.03661153410419822,0.6532,3.077268484687805
12,INTERMEDIATE,43,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.0702475215911864,0.9907000000190734,0.029279923113957048,0.6505,3.0702475215911864
12,INTERMEDIATE,44,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.038108595275879,0.99064,0.031820405728593466,0.6546,3.038108595275879
12,INTERMEDIATE,45,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.083264513397217,0.9928000000190735,0.02236402694573626,0.652,3.083264513397217
12,INTERMEDIATE,46,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.1471011005401612,0.98894,0.03701493781469763,0.6476,3.1471011005401612
12,INTERMEDIATE,47,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.130091039276123,0.98998,0.03475385746214539,0.6557,3.130091039276123
12,INTERMEDIATE,48,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.348048393058777,0.9922600000190734,0.025487468006368728,0.6411,3.348048393058777
12,INTERMEDIATE,49,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.1179721271514893,0.9878400000190735,0.04386489092960954,0.6437,3.1179721271514893
12,INTERMEDIATE,50,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.3377185150146484,0.9913600000190735,0.02936278828419745,0.6428,3.3377185150146484
12,INTERMEDIATE,51,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.2519457035064696,0.99248,0.027678577923029662,0.6471,3.2519457035064696
12,INTERMEDIATE,52,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.198900514793396,0.9920800000190735,0.025833862138716503,0.6523,3.198900514793396
12,INTERMEDIATE,53,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.1581028049468993,0.9895999999809265,0.03619493786619976,0.6479,3.1581028049468993
12,INTERMEDIATE,54,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.2687517692565917,0.991940000038147,0.026892581419311463,0.6529,3.2687517692565917
12,INTERMEDIATE,55,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.3110267959594726,0.9909200000190734,0.032958352017998696,0.6511,3.3110267959594726
12,INTERMEDIATE,56,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.259129664993286,0.99034,0.033635779172182086,0.6483,3.259129664993286
12,INTERMEDIATE,57,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,3.255507550048828,0.99198,0.028714608178175987,0.6486,3.255507550048828
12,COMPLETED,57,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.0088938125610352,0.7462400000190735,0.7263735887145996,0.6588,1.0088938125610352
6,INTERMEDIATE,1,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.3287177223205566,0.416359999961853,1.5951762114715575,0.5142,1.3287177223205566
6,INTERMEDIATE,2,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.1889910284996033,0.5566600000190735,1.239733265914917,0.5778,1.1889910284996033
6,INTERMEDIATE,3,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.0713149099349975,0.62394,1.0603334605789185,0.6217,1.0713149099349975
6,INTERMEDIATE,4,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.0143872227668762,0.67372,0.9286467521858215,0.6411,1.0143872227668762
6,INTERMEDIATE,5,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,0.975340007686615,0.71648,0.7984514638137817,0.6617,0.975340007686615
6,INTERMEDIATE,6,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.0247075119018554,0.7654400000190735,0.6655272605514526,0.6584,1.0247075119018554
6,INTERMEDIATE,7,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.0310740524291993,0.8064399999809265,0.549900629940033,0.6656,1.0310740524291993
6,INTERMEDIATE,8,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.121269143486023,0.8516800000381469,0.4224743723487854,0.6672,1.121269143486023
6,INTERMEDIATE,9,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.291279825592041,0.891500000038147,0.3064875909423828,0.6552,1.291279825592041
6,INTERMEDIATE,10,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.3729799545288086,0.9273,0.2138490490245819,0.666,1.3729799545288086
6,INTERMEDIATE,11,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.5215969875335693,0.943859999961853,0.16346077966213227,0.6575,1.5215969875335693
6,INTERMEDIATE,12,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.67406860370636,0.9566000000381469,0.12823156055927276,0.6596,1.67406860370636
6,INTERMEDIATE,13,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.780199957847595,0.9674599999809265,0.09660493741989136,0.6657,1.780199957847595
6,INTERMEDIATE,14,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.8340221397399903,0.964420000038147,0.10695229221820832,0.6607,1.8340221397399903
6,INTERMEDIATE,15,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,1.9973674299240112,0.971319999961853,0.086893368871212,0.6653,1.9973674299240112
6,INTERMEDIATE,16,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.10463611907959,0.974039999961853,0.07845546671628952,0.6587,2.10463611907959
6,INTERMEDIATE,17,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.1061436361312866,0.9787400000190735,0.06919623626828193,0.6624,2.1061436361312866
6,INTERMEDIATE,18,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.118018522644043,0.97504,0.07775352667450905,0.6529,2.118018522644043
6,INTERMEDIATE,19,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.176389265823364,0.9777000000381469,0.07051040201306343,0.6485,2.176389265823364
6,INTERMEDIATE,20,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.195268185043335,0.9743600000190735,0.07508613306641579,0.6576,2.195268185043335
6,INTERMEDIATE,21,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.234943201828003,0.975540000038147,0.07242683874845504,0.6366,2.234943201828003
6,INTERMEDIATE,22,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.329989101791382,0.9806799999618531,0.060527628307342526,0.6603,2.329989101791382
6,INTERMEDIATE,23,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.2068424924850465,0.97876,0.06337015523433685,0.6527,2.2068424924850465
6,INTERMEDIATE,24,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.5212204029083254,0.981880000038147,0.055127978434562686,0.6526,2.5212204029083254
6,INTERMEDIATE,25,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.461651279449463,0.982099999961853,0.0552984770822525,0.6607,2.461651279449463
6,INTERMEDIATE,26,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.553977126312256,0.97954,0.061308708013296125,0.6419,2.553977126312256
6,INTERMEDIATE,27,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.5158543441772463,0.98256,0.05451302415132522,0.6512,2.5158543441772463
6,INTERMEDIATE,28,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.63856717338562,0.982599999961853,0.05400398051977157,0.6509,2.63856717338562
6,INTERMEDIATE,29,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.569335901260376,0.9817200000190734,0.05861885287284851,0.6522,2.569335901260376
6,INTERMEDIATE,30,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.5985231647491456,0.985000000038147,0.05078819934725761,0.6501,2.5985231647491456
6,INTERMEDIATE,31,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.73281063079834,0.984059999961853,0.04958995317578316,0.6457,2.73281063079834
6,INTERMEDIATE,32,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.6674343297958374,0.98304,0.054340191771388054,0.644,2.6674343297958374
6,INTERMEDIATE,33,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.7455108472824095,0.983840000038147,0.05268944513916969,0.6449,2.7455108472824095
6,INTERMEDIATE,34,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.687831466293335,0.9828400000190735,0.05330219859659672,0.6581,2.687831466293335
6,INTERMEDIATE,35,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.822639922904968,0.98752,0.038105895351246,0.6514,2.822639922904968
6,INTERMEDIATE,36,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.762679111099243,0.9818600000190735,0.05972873454362154,0.6519,2.762679111099243
6,INTERMEDIATE,37,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.7595844509124756,0.9845800000190735,0.05051913831293583,0.6543,2.7595844509124756
6,INTERMEDIATE,38,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.8454378303527834,0.9850000000190735,0.047545671061873435,0.6416,2.8454378303527834
6,INTERMEDIATE,39,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,3,50,json,2.9020820804595946,0.98518,0.0466802323243022,0.6565,2.9020820804595946
